target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_11284T0,11610,678.5,0.3111,0.4189,0.01804,up_in_Guy11M,Guy11M,Guy11
MGG_04967T0,9142,679.2,0.2844,0.4189,0.01807,up_in_Guy11M,Guy11M,Guy11
MGG_01374T0,12165,847.7,4.532,0.4207,0.02637,up_in_Guy11,Guy11M,Guy11
MGG_05067T0,101,846.9,4.677,0.4211,0.02633,up_in_Guy11,Guy11M,Guy11
MGG_03690T0,4633,847.6,4.733,0.4211,0.02636,up_in_Guy11,Guy11M,Guy11
MGG_05804T0,5253,851.7,4.703,0.4211,0.02658,up_in_Guy11,Guy11M,Guy11
MGG_02595T0,6883,848.9,4.771,0.4212,0.02643,up_in_Guy11,Guy11M,Guy11
MGG_04927T0,4355,851.5,4.602,0.4214,0.02657,up_in_Guy11,Guy11M,Guy11
MGG_10440T0,7599,851,5.074,0.4215,0.02655,up_in_Guy11,Guy11M,Guy11
MGG_11776T0,3376,850,4.682,0.4216,0.02649,up_in_Guy11,Guy11M,Guy11
MGG_12530T0,6160,850.5,4.529,0.4216,0.02652,up_in_Guy11,Guy11M,Guy11
