sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
mst7_4_1,mst7_2_1,mst7,4,1,mst7,2,1,0.9496956197608756,0.9473975980093741,"Same strain, different time"
mst7_24_1,mst7_2_1,mst7,24,1,mst7,2,1,0.7480312295752246,0.752248763377219,"Same strain, different time"
MST7WT_0_1,mst7_2_1,MST7WT,0,1,mst7,2,1,0.7205637995522214,0.736886403401037,"Different strains, different time"
MST7WT_2_1,mst7_2_1,MST7WT,2,1,mst7,2,1,0.9486533670120182,0.947493678536649,"Different strain, same time"
MST7WT_4_1,mst7_2_1,MST7WT,4,1,mst7,2,1,0.9005554676961043,0.91065352528234,"Different strains, different time"
MST7WT_24_1,mst7_2_1,MST7WT,24,1,mst7,2,1,0.5077886878175305,0.5299956382416509,"Different strains, different time"
MST7PM_0_1,mst7_2_1,MST7PM,0,1,mst7,2,1,0.7715273184902277,0.770625791242925,"Different strains, different time"
MST7PM_2_1,mst7_2_1,MST7PM,2,1,mst7,2,1,0.9559358216925273,0.9562038358987884,"Different strain, same time"
MST7PM_4_1,mst7_2_1,MST7PM,4,1,mst7,2,1,0.8620100830799805,0.8722896691883497,"Different strains, different time"
MST7PM_24_1,mst7_2_1,MST7PM,24,1,mst7,2,1,0.7254515583497921,0.7320601662337721,"Different strains, different time"
MST7PD_0_1,mst7_2_1,MST7PD,0,1,mst7,2,1,0.7292032158949393,0.7312209003816802,"Different strains, different time"
MST7PD_2_1,mst7_2_1,MST7PD,2,1,mst7,2,1,0.948025103483068,0.9457673442117359,"Different strain, same time"
MST7PD_4_1,mst7_2_1,MST7PD,4,1,mst7,2,1,0.936231569108053,0.9411954744522287,"Different strains, different time"
MST7PD_24_1,mst7_2_1,MST7PD,24,1,mst7,2,1,0.7121629348418923,0.7191639566668063,"Different strains, different time"
Guy11_0_1,mst7_2_1,Guy11,0,1,mst7,2,1,0.7096625454022246,0.7145109465427792,"Different strains, different time"
Guy11_2_1,mst7_2_1,Guy11,2,1,mst7,2,1,0.9199263143799203,0.9214103861911521,"Different strain, same time"
Guy11_4_1,mst7_2_1,Guy11,4,1,mst7,2,1,0.7884607826139741,0.808288261441524,"Different strains, different time"
Guy11_24_1,mst7_2_1,Guy11,24,1,mst7,2,1,0.5739281273668086,0.5924919331465175,"Different strains, different time"
mst7_0_2,mst7_2_1,mst7,0,2,mst7,2,1,0.7642093905066227,0.7647512374140449,"Same strain, different time"
mst7_2_2,mst7_2_1,mst7,2,2,mst7,2,1,0.966410729492492,0.9645545684376634,Biological replicates
mst7_4_2,mst7_2_1,mst7,4,2,mst7,2,1,0.9849299173115897,0.9850496711021469,"Same strain, different time"
mst7_24_2,mst7_2_1,mst7,24,2,mst7,2,1,0.7483197594488912,0.7501201702231239,"Same strain, different time"
MST7WT_0_2,mst7_2_1,MST7WT,0,2,mst7,2,1,0.6683731750007788,0.6782763873683327,"Different strains, different time"
MST7WT_2_2,mst7_2_1,MST7WT,2,2,mst7,2,1,0.9438609708526647,0.9442940563719882,"Different strain, same time"
