"","mst7_0_1","mst7_2_1","mst7_4_1","mst7_24_1","MST7WT_0_1","MST7WT_2_1","MST7WT_4_1","MST7WT_24_1","MST7PM_0_1","MST7PM_2_1","MST7PM_4_1","MST7PM_24_1","MST7PD_0_1","MST7PD_2_1","MST7PD_4_1","MST7PD_24_1","Guy11_0_1","Guy11_2_1","Guy11_4_1","Guy11_24_1","mst7_0_2","mst7_2_2","mst7_4_2","mst7_24_2","MST7WT_0_2","MST7WT_2_2","MST7WT_4_2","MST7WT_24_2","MST7PM_0_2","MST7PM_2_2","MST7PM_4_2","MST7PM_24_2","MST7PD_0_2","MST7PD_2_2","MST7PD_4_2","Guy11_0_2","Guy11_2_2","Guy11_4_2","Guy11_24_2","mst7_0_3","mst7_2_3","mst7_4_3","mst7_24_3","MST7WT_0_3","MST7WT_2_3","MST7WT_4_3","MST7WT_24_3","MST7PM_0_3","MST7PM_2_3","MST7PM_4_3","MST7PM_24_3","MST7PD_0_3","MST7PD_2_3","MST7PD_4_3","MST7PD_24_3","Guy11_0_3","Guy11_2_3","Guy11_4_3","Guy11_24_3","pmk1_0_1","pmk1_2_1","pmk1_4_1","pmk1_24_1","pmk1_0_2","pmk1_2_2","pmk1_4_2","pmk1_24_2","Guy11M_0_1","Guy11M_2_1","Guy11M_4_1","Guy11M_24_1","Guy11M_0_2","Guy11M_2_2","Guy11M_4_2","Guy11M_24_2"
"MGG_13179T0",4.42089,8.356,20.2673,103.564,39.2882,9.95536,6.00639,4.61708,70.45,10.7851,4.46867,7.40875,128.99,13.6973,4.89492,2.68413,85.18,35.0385,11.0205,4.65286,80.8615,9.50943,6.43961,5.47129,44.4002,10.2894,9.50195,0.273076,40.808,19.2771,10.927,7.41936,41.0931,33.2657,13.3945,91.0387,29.5548,11.5072,5.377,173.38,13.3527,13.7998,14.075,61.1937,20.5441,13.9932,3.13889,39.5379,21.1187,9.56898,4.88985,31.7203,26.5976,17.4264,3.29425,36.3095,27.6131,19.6448,5.30981,9.20941,46.9704,99.0712,3.33548,8.15022,47.7421,112.618,3.33548,52.8597,95.7107,89.619,10.1997,52.3122,101.503,87.4934,10.1997
"MGG_16724T0",0.312735,0.701304,0.242641,0.189922,0,0.11498,0.356361,0,0.324172,0.12942,0.222732,0.794008,0.283505,0.0719293,0,0.570098,0.0634878,0,0.236262,0.267507,0.285794,0.212466,0.331811,0,0.232989,0.222028,0,0.360345,0.119329,0.213411,0.142673,1.24014,0.359861,0.0754387,0.0735417,0.0832035,0,0.575206,0.296907,0,0.36472,2.31193,2.574,0.289733,0,0.0733142,0.546222,0.538248,0.381548,0,0.0449024,0.16314,0.0581278,0.126052,0.573795,0.11034,0.0684981,0.0640547,0.0458237,1.76096,0.212142,0.82274,0,0.274995,0.227076,0.44865,0,0.436904,3.51135,0.178293,0.117053,0.527078,0.147456,0.105978,0.117053
"MGG_13484T0",56.7765,95.5474,104.16,19.0144,11.3936,107.317,52.8662,92.6408,21.8107,76.4025,32.0811,38.7612,26.272,104.359,92.8445,59.0847,38.8964,75.0632,24.5419,45.2292,27.9702,108.206,79.16,110.623,19.9002,104.86,37.4441,2.23918,13.5333,101.836,36.0708,42.8667,11.2327,108.433,46.0056,32.8614,106.77,43.1674,61.508,20.1883,102.307,77.0619,102.71,30.9276,110.834,47.623,56.0954,18.7017,99.9738,46.9581,74.3248,20.4696,104.089,38.6306,42.392,22.6446,217.449,43.6433,50.2499,205.905,150.915,54.2052,68.9449,200.067,152.022,53.3636,68.9449,105.007,48.9608,86.7453,150.212,102.099,56.4476,83.272,150.212
"MGG_02384T0",35.0899,28.2487,26.206,12.5358,5.17835,21.0268,30.9249,14.4364,20.9241,22.9609,30.4033,31.3068,15.972,22.2567,25.1163,32.7401,15.2474,20.2079,36.6038,29.7276,24.6078,23.5592,25.3674,25.2458,12.4986,19.8332,38.0014,2.41634,12.7086,19.5474,30.7812,34.5919,8.48017,25.182,27.8845,18.882,22.7896,29.2962,32.8965,27.4127,25.6025,30.2457,39.4973,13.1874,21.8696,27.808,30.9957,13.3466,21.7723,28.5662,13.1684,13.323,24.2808,35.8248,26.9021,15.5057,24.9819,32.2603,34.7401,41.8348,43.5206,47.821,49.3351,41.2567,42.3524,50.3982,49.3351,8.01328,37.2131,47.1293,38.1807,6.66113,38.0121,47.2999,38.1807
"MGG_10551T0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287332,0,0,0.188189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGG_10568T0",182.788,629.633,756.048,27.408,13.0454,609.699,278.349,49.4391,51.9448,537.233,172.345,199.369,23.6878,668.831,426.469,136.676,11.4724,256.321,58.4623,134.832,57.5074,740.066,452.495,42.8755,27.6788,554.555,173.871,9.02409,20.1639,469.22,145.012,139.323,16.709,428.521,169.429,11.8209,226.058,79.1718,113.96,72.9603,598.396,419.088,93.9775,40.3206,483.033,184.51,139.629,29.8733,423.841,145.155,65.6473,33.2388,397.68,126.649,134.37,10.5047,210.961,99.745,104.545,124.785,486.604,491.167,119.351,116.095,496.481,514.209,119.351,15.9757,261.93,405.769,150.087,15.764,214.32,394.949,150.087
"MGG_07447T0",57.7801,171.841,152.615,78.6643,41.193,174.097,124.683,23.5794,81.9509,154.661,132.65,64.212,89.2837,207.488,174.995,58.992,166.006,182.959,99.1144,46.1734,88.8754,179.135,156.702,69.1863,82.1702,211.162,130.17,5.66277,69.8621,192.528,135.537,58.1882,73.4592,180.25,152.88,120.011,173.136,111.266,42.2554,27.7882,199.149,213.692,66.152,81.2317,190.367,137.04,45.1025,60.3886,196.91,118.255,28.9115,57.3859,198.459,136.191,41.3886,81.2284,124.529,139.808,33.3305,45.1447,70.2196,72.8425,68.8537,43.3995,71.1105,67.7163,68.8537,130.248,119.039,93.3387,35.8941,134.688,104.157,92.404,35.8941
"MGG_14605T0",2.46783,2.0171,4.87685,4.39164,4.01383,3.20243,7.38669,0.290048,5.01241,8.57071,8.33135,4.19707,5.34942,8.01602,4.77817,0.301978,5.33706,5.40336,3.2658,2.16775,2.70436,9.19313,5.93859,1.07321,0.68344,2.53079,11.1439,0,1.0726,5.93205,9.66538,7.51086,0.442392,5.51586,8.19424,3.44344,4.89989,6.06056,2.02897,3.35514,3.93141,3.35066,5.21102,5.08209,8.40652,11.6864,2.80053,4.9352,6.54647,7.94856,3.1146,1.7565,5.52632,8.30819,2.24813,2.15836,4.0682,5.75111,0.525126,2.13314,5.78402,3.6066,0,2.02985,3.78694,4.16339,0,3.4241,0,3.9377,1.37093,4.01712,2.73751,1.98678,1.37093
"MGG_17151T0",2.37282,0,0,0,0,0,1.2936,20.8577,1.03487,1.25644,0,0,2.72985,2.38073,0,4.58549,1.14994,2.75526,3.20937,1.08175,5.68571,1.2566,4.12167,15.0504,1.10303,0,0,0,0,2.87143,0,8.04461,4.37729,1.49966,0,0,0,0,5.62386,7.83631,1.09705,0,10.5775,0.836147,1.23631,4.29919,1.80606,0,0,1.1389,0,1.61543,0,2.14254,8.40957,0,7.14245,0,2.53454,5.21225,3.78204,3.32166,0,3.18417,3.83093,1.43486,0,3.15571,0,0,4.78005,4.6152,8.09364,0,4.78005
"MGG_03083T0",0.0235554,0.168842,0,0.518712,0.0694487,0.121047,0.0370824,0,0.168034,0.100501,0,0.256552,0.243843,0.0761287,0.0688075,0.108424,0.736318,0.196374,0,0.361914,0.326813,0.0370238,0,0,0.212464,0.0386619,0.0586773,0,0.495959,0.0738483,0,0.37846,0.372898,0.078156,0,0.604959,0.0412106,0.0425656,0.103213,0,0,0.126253,0.025041,1.41869,0,0.0757557,0.188653,0.494606,0.0329041,0,0,0.233241,0,0.110141,0.0498969,0.42557,0.0723762,0.102271,0.0957671,0.131623,0.0885587,0.0996508,0,0.0768958,0.0316885,0,0,0.478826,0,0.149643,0.064758,0.362914,0,0.118116,0.064758
